State,LGA,Ward,PU-Code,PU-Name,APC,PDP,LP,NNPP,Total_Votes,Latitude,Longitude,Neighbours,Neighbour_Count,APC_outlier_score,PDP_outlier_score,LP_outlier_score,NNPP_outlier_score,Overall_Outlier_Score,APC_share,PDP_share,NNPP_share,LP_share
KWARA,OFFA,ESSA - A,23-13-05-008,OPEN SPACE AKINLOFI AREA II,7,49,0,0,56,8.1467628,4.7232259,"['23-13-01-001', '23-13-01-007', '23-13-01-008', '23-13-01-009', '23-13-01-010', '23-13-03-001', '23-13-03-002', '23-13-03-003', '23-13-03-004', '23-13-03-005', '23-13-03-006', '23-13-03-007', '23-13-03-008', '23-13-04-007', '23-13-05-002', '23-13-05-004', '23-13-05-006', '23-13-06-001', '23-13-06-002', '23-13-06-003', '23-13-06-004', '23-13-06-005', '23-13-09-001', '23-13-09-002', '23-13-09-003', '23-13-09-004', '23-13-09-005', '23-13-09-006', '23-13-10-001', '23-13-10-002', '23-13-10-003', '23-13-10-004', '23-13-10-005', '23-13-11-001', '23-13-11-003', '23-13-11-004', '23-13-11-005', '23-13-11-006', '23-13-11-007', '23-13-11-008', '23-13-11-009', '23-13-11-010', '23-13-01-011', '23-13-01-013', '23-13-01-015', '23-13-01-016', '23-13-01-017', '23-13-01-018', '23-13-05-007', '23-13-05-010', '23-13-06-006', '23-13-06-007', '23-13-06-008', '23-13-06-009', '23-13-06-010', '23-13-09-007', '23-13-09-008', '23-13-09-009', '23-13-09-010', '23-13-09-011', '23-13-09-012', '23-13-10-007', '23-13-10-008', '23-13-10-009', '23-13-10-010', '23-13-10-011', '23-13-11-011', '23-13-11-013', '23-13-11-014', '23-13-11-015', '23-13-11-016', '23-13-03-009', '23-13-03-010', '23-13-03-011', '23-13-03-012', '23-13-03-013', '23-13-03-014']",77,2.873139609,5.405404097,0.614403385,0.479942248,1.065793752,13%,88%,0%,0%
KWARA,ILORIN-WEST,BABOKO,23-08-03-014,ODE AGOYI (YIDI ROAD),0,31,1,0,32,8.4911827,4.5108862,"['23-08-01-001', '23-08-01-003', '23-08-01-004', '23-08-01-006', '23-08-01-009', '23-08-01-010', '23-08-01-012', '23-08-01-013', '23-08-01-014', '23-08-03-007', '23-08-03-008', '23-08-03-009', '23-08-03-010', '23-08-03-011', '23-08-03-012', '23-08-03-013', '23-08-06-001', '23-08-06-007', '23-08-06-015', '23-08-06-016', '23-08-06-017', '23-08-10-015', '23-08-10-018', '23-08-10-024', '23-08-11-001', '23-08-11-002', '23-08-11-004', '23-08-11-006', '23-08-11-007', '23-08-11-008', '23-08-11-009', '23-08-01-019', '23-08-01-021', '23-08-01-022', '23-08-01-024', '23-08-01-027', '23-08-01-028', '23-08-01-029', '23-08-01-031', '23-08-01-038', '23-08-03-018', '23-08-06-021', '23-08-10-026', '23-08-11-010', '23-08-11-012', '23-08-11-013', '23-08-11-015', '23-08-11-017', '23-08-11-021', '23-08-01-018', '23-08-01-034', '23-08-10-029', '23-08-11-011', '23-08-11-018', '23-08-01-023', '23-08-01-036', '23-08-01-037', '23-08-03-019', '23-08-03-023', '23-08-11-014', '23-08-11-019', '23-08-11-016', '23-08-03-020', '23-08-03-021', '23-08-03-022', '23-08-10-044']",66,3.112616834,4.076778193,0.126890213,0.459010967,1.010469087,0%,97%,0%,3%
KWARA,ILORIN-WEST,BALOGUN ALANAMU CENTRAL,23-08-05-055,ODE ILE EGBA,5,26,0,0,31,8.470747,4.529166,"['23-08-04-003', '23-08-04-004', '23-08-04-010', '23-08-04-011', '23-08-04-012', '23-08-04-015', '23-08-10-003', '23-08-10-004', '23-08-10-005', '23-08-10-006', '23-08-10-007', '23-08-10-008', '23-08-04-022', '23-08-04-027', '23-08-04-031', '23-08-04-025', '23-08-04-021', '23-08-04-018', '23-08-04-029', '23-08-04-026', '23-08-04-023', '23-08-04-024']",22,2.427838466,3.455067652,1.139673504,0.261337758,0.617330414,16%,84%,0%,0%
KWARA,ILORIN-WEST,MAGAJI NGERI,23-08-06-004,ODE JIMBA I,2,124,6,1,133,8.4941939,4.5463259,"['23-06-02-002', '23-06-02-003', '23-06-07-001', '23-06-07-002', '23-06-07-003', '23-06-07-004', '23-06-07-005', '23-06-07-008', '23-06-07-009', '23-06-07-010', '23-06-07-011', '23-06-07-012', '23-06-07-013', '23-06-07-014', '23-06-07-015', '23-06-07-016', '23-06-07-017', '23-06-07-018', '23-06-07-019', '23-06-07-020', '23-06-07-021', '23-06-07-022', '23-06-07-023', '23-06-07-024', '23-06-07-025', '23-07-06-001', '23-07-06-002', '23-07-06-003', '23-07-06-004', '23-07-06-005', '23-07-06-006', '23-07-06-007', '23-07-06-008', '23-07-06-009', '23-07-06-011', '23-07-06-013', '23-07-06-014', '23-07-06-015', '23-07-06-016', '23-07-06-017', '23-07-06-018', '23-07-11-005', '23-07-11-013', '23-08-03-005', '23-08-05-004', '23-08-05-020', '23-08-06-002', '23-08-06-003', '23-08-06-005', '23-08-06-006', '23-08-06-008', '23-08-06-009', '23-08-06-010', '23-08-06-011', '23-08-06-012', '23-08-06-013', '23-08-06-014', '23-08-09-011', '23-08-09-013', '23-06-02-018', '23-06-07-026', '23-06-07-028', '23-06-07-029', '23-06-07-030', '23-06-07-031', '23-06-07-032', '23-06-07-033', '23-06-07-034', '23-06-07-035', '23-07-06-019', '23-07-06-020', '23-07-11-019', '23-08-03-015', '23-08-03-016', '23-08-03-026', '23-08-05-060', '23-08-06-019', '23-08-06-022', '23-08-06-023', '23-08-06-024', '23-08-06-026', '23-08-06-027', '23-08-06-018', '23-08-06-020', '23-08-03-025', '23-08-06-025']",86,2.898510206,3.289483333,0.30049339,2.188478355,1.220036867,2%,93%,1%,5%
KWARA,ILORIN EAST,MAGAJI ARE 11,23-06-08-034,LAJORIN JUNCTION BESIDE TOWN PLANNING OFFICE,2,6,2,0,10,8.4960366,4.5897703,"['23-06-08-003', '23-06-08-004', '23-06-08-005', '23-06-08-010', '23-06-08-014', '23-06-08-015', '23-06-08-020', '23-06-08-021', '23-06-08-022', '23-06-08-024', '23-07-04-003', '23-07-04-005', '23-07-04-011', '23-06-08-026', '23-06-08-027', '23-06-08-028', '23-06-08-038', '23-06-08-039', '23-06-08-040', '23-06-08-041', '23-07-04-031', '23-07-04-048']",22,1.27852228,3.160550838,1.131862021,0.304939948,0.873350234,20%,60%,0%,20%
KWARA,OFFA,ESSA - B,23-13-06-008,OPEN SPACE OLOYA-BANLEKU AREA II,5,10,0,0,15,8.1443699,4.7249942,"['23-13-01-001', '23-13-01-007', '23-13-01-008', '23-13-01-009', '23-13-01-010', '23-13-04-007', '23-13-05-002', '23-13-05-004', '23-13-05-006', '23-13-06-001', '23-13-06-002', '23-13-06-003', '23-13-06-004', '23-13-06-005', '23-13-11-001', '23-13-11-003', '23-13-11-004', '23-13-11-005', '23-13-11-006', '23-13-11-007', '23-13-11-008', '23-13-11-009', '23-13-11-010', '23-13-01-011', '23-13-01-013', '23-13-01-015', '23-13-01-016', '23-13-01-017', '23-13-01-018', '23-13-05-007', '23-13-05-008', '23-13-05-010', '23-13-06-006', '23-13-06-007', '23-13-06-009', '23-13-06-010', '23-13-11-011', '23-13-11-013', '23-13-11-014', '23-13-11-015', '23-13-11-016']",41,1.552225621,3.097222784,0.673508841,0.463658507,0.840983933,33%,67%,0%,0%
KWARA,ILORIN EAST,IBAGUN,23-06-04-049,OPEN SPACE ODE BABA OKANKAN,25,52,0,0,77,8.5290904,4.5469705,"['23-06-04-001', '23-06-04-002', '23-06-04-009', '23-06-04-011', '23-06-04-012', '23-06-04-013', '23-06-04-014', '23-06-04-019', '23-06-04-020', '23-06-04-022', '23-06-04-023', '23-06-08-007', '23-06-08-008', '23-06-08-009', '23-06-08-016', '23-06-08-017', '23-06-08-018', '23-06-08-019', '23-06-12-013', '23-08-04-013', '23-08-10-021', '23-06-04-025', '23-06-04-028', '23-06-04-030', '23-06-04-031', '23-06-04-033', '23-06-04-036', '23-06-04-038', '23-06-04-043', '23-06-04-044', '23-06-04-048', '23-06-04-050', '23-06-04-051', '23-06-04-052', '23-06-04-054', '23-06-04-055', '23-06-04-056', '23-06-04-057', '23-06-04-058']",39,2.39011149,3.092963706,0.672542526,0.411105772,0.782895387,32%,68%,0%,0%
KWARA,ILORIN-WEST,BALOGUN ALANAMU CENTRAL,23-08-05-056,OPEN SPACE ILE AKUJI ISALE,0,0,0,0,0,8.4936517,4.5340805,"['23-08-01-007', '23-08-01-008', '23-08-01-016', '23-08-01-017', '23-08-02-001', '23-08-02-011', '23-08-05-001', '23-08-05-002', '23-08-05-003', '23-08-05-005', '23-08-05-006', '23-08-05-007', '23-08-05-008', '23-08-05-009', '23-08-05-010', '23-08-05-011', '23-08-05-012', '23-08-05-013', '23-08-05-014', '23-08-05-015', '23-08-05-016', '23-08-05-017', '23-08-05-019', '23-08-05-020', '23-08-05-021', '23-08-05-022', '23-08-05-023', '23-08-05-024', '23-08-05-025', '23-08-05-026', '23-08-05-027', '23-08-05-028', '23-08-05-029', '23-08-05-030', '23-08-05-031', '23-08-05-032', '23-08-05-034', '23-08-05-035', '23-08-05-036', '23-08-05-037', '23-08-05-038', '23-08-05-039', '23-08-05-040', '23-08-05-041', '23-08-05-042', '23-08-05-043', '23-08-05-044', '23-08-05-045', '23-08-02-049', '23-08-05-046', '23-08-05-049', '23-08-05-051', '23-08-05-058', '23-08-05-061', '23-08-05-063', '23-08-05-064', '23-08-09-045', '23-08-05-052', '23-08-05-050', '23-08-05-053', '23-08-05-054', '23-08-05-059', '23-08-05-066', '23-08-05-057', '23-08-05-062', '23-08-05-067']",66,4.113802169,3.088232092,0.472238208,0.213938883,1.149838182,0%,0%,0%,0%
KWARA,ILORIN-SOUTH,BALOGUN-FULANI I,23-07-06-020,"OPEN SPACE, ITA GOMA",31,148,0,0,179,8.4975326,4.5534167,"['23-06-02-001', '23-06-02-002', '23-06-02-003', '23-06-02-004', '23-06-02-005', '23-06-02-006', '23-06-02-007', '23-06-02-008', '23-06-02-009', '23-06-02-010', '23-06-02-011', '23-06-02-012', '23-06-02-013', '23-06-02-014', '23-06-02-015', '23-06-02-016', '23-06-03-009', '23-06-03-010', '23-06-03-012', '23-06-07-001', '23-06-07-002', '23-06-07-003', '23-06-07-004', '23-06-07-005', '23-06-07-008', '23-06-07-009', '23-06-07-010', '23-06-07-011', '23-06-07-012', '23-06-07-013', '23-06-07-014', '23-06-07-015', '23-06-07-016', '23-06-07-017', '23-06-07-018', '23-06-07-019', '23-06-07-022', '23-06-07-023', '23-06-07-024', '23-06-07-025', '23-07-06-001', '23-07-06-002', '23-07-06-003', '23-07-06-004', '23-07-06-005', '23-07-06-006', '23-07-06-007', '23-07-06-008', '23-07-06-009', '23-07-06-011', '23-07-06-013', '23-07-06-014', '23-07-06-015', '23-07-06-016', '23-07-06-017', '23-07-06-018', '23-07-07-001', '23-07-07-002', '23-07-07-003', '23-07-07-004', '23-07-07-005', '23-07-07-006', '23-07-07-007', '23-07-07-008', '23-07-07-009', '23-07-07-010', '23-07-11-005', '23-07-11-013', '23-08-06-002', '23-08-06-003', '23-08-06-004', '23-08-06-005', '23-08-06-006', '23-08-06-008', '23-08-06-009', '23-08-06-010', '23-08-06-011', '23-08-06-012', '23-08-06-013', '23-08-06-014', '23-06-02-017', '23-06-02-018', '23-06-02-020', '23-06-02-021', '23-06-02-022', '23-06-02-023', '23-06-03-025', '23-06-07-026', '23-06-07-028', '23-06-07-029', '23-06-07-030', '23-06-07-031', '23-06-07-032', '23-06-07-033', '23-06-07-034', '23-06-07-035', '23-06-12-027', '23-07-06-019', '23-07-07-011', '23-07-07-012', '23-07-07-013', '23-07-07-014', '23-07-07-015', '23-07-11-019', '23-08-06-019', '23-08-06-022', '23-08-06-023', '23-08-06-024', '23-08-06-026', '23-08-06-027', '23-08-06-018', '23-08-06-020', '23-07-08-013', '23-08-06-025']",114,2.254596589,2.91183545,0.617041908,0.373157051,1.146338265,17%,83%,0%,0%
KWARA,OYUN,IPEE,23-15-10-003,"CENTRAL MARKET, IPEE",97,86,2,1,186,8.1648098,4.7523337,"['23-15-08-001', '23-15-08-002', '23-15-10-001', '23-15-10-002', '23-15-10-006', '23-15-10-007', '23-15-08-007', '23-15-08-009', '23-15-10-008', '23-15-10-009', '23-15-10-011', '23-15-10-012']",12,0.093293061,2.904475591,2.110794569,0.454175448,1.734927491,52%,46%,1%,1%
